,3T3L1-D0-rep1,3T3L1-D0-rep2,3T3L1-D0-rep3,3T3L1-D2-rep1,3T3L1-D2-rep2,3T3L1-D2-rep3,3T3L1-D6-rep1,3T3L1-D6-rep2,3T3L1-D6-rep3
ENSMUSG00000054135,22.7613767951637,26.174000368488,26.7218904840449,11.178054693728,14.5868095947418,16.4686009799282,18.4124008768525,17.3179100989474,15.631471099895
ENSMUSG00000103260,8.90662570245535,8.05353857491939,17.8145936560299,15.2428018550836,17.7125545079007,20.5857512249102,6.78351611252462,9.62106116608189,18.5623719311253
ENSMUSG00000041439,11.8755009366071,22.1472310810283,7.91759718045776,21.339922597117,8.33531976842387,14.4100258574371,30.0412856411805,13.4694856325146,33.2168760872769
ENSMUSG00000026102,525.490916444865,548.647315416383,534.437809680898,772.301960657569,726.21473482393,744.174906780504,339.175805626231,381.956128293451,389.809810553631
ENSMUSG00000041426,306.783774195684,267.78015761607,301.858392504952,634.100557171478,577.220893963353,567.137446246276,1551.48704230742,1572.08139453778,1715.55395321348
ENSMUSG00000026339,1270.67860021696,1261.38547929675,1419.22929459705,1222.4727087777,1185.6992370583,1316.45879083301,1417.75486751765,1406.59914248117,1328.67504349107
ENSMUSG00000001674,564.086294488838,572.807931141141,498.808622368839,545.692306411993,619.939407776526,624.777549676025,500.0420448661,431.985646357077,490.437405759205
ENSMUSG00000036707,1304.32585287068,1360.04132683951,1284.63014252927,2321.9868159244,2263.03931712708,2305.60413718994,2762.82920525824,2606.34546989158,2472.70333461464
ENSMUSG00000026223,6169.3227365674,5796.53438929823,6262.81936974208,3735.50264128582,3531.04983689856,3308.13022184307,3637.90278377392,3656.96534922772,3377.37472452106
ENSMUSG00000025939,791.700062440475,809.380626779398,808.584612054248,881.033947223832,774.142823492367,831.664349486372,1096.99146276827,1074.67253225135,1099.08781171137
ENSMUSG00000026094,617.526048703571,582.874854359791,605.696184305018,497.931527266064,469.903651944896,564.04958356254,470.969832955281,411.781417908305,494.345273534179
ENSMUSG00000026341,1800.12801697403,1826.13987186297,1794.32546102124,1591.34851367073,1483.68691877945,1593.33714480805,1533.07464143056,1527.8245131738,1533.8381016772
ENSMUSG00000079658,693.727179713466,736.898779605124,637.366573026849,997.895428112806,1036.70539619772,1017.96539807181,733.588813883019,745.632240371346,824.560100519461
ENSMUSG00000026342,919.361697509002,881.862473953673,885.781184563711,938.95659427315,947.100708687163,1030.31684880676,932.248928606955,948.636630975674,941.796133768673
ENSMUSG00000025940,344.389527161607,351.335620330858,355.302173473042,585.32359123521,544.921529860711,542.434544776384,945.815960832004,900.531325145264,978.920877630924
ENSMUSG00000025779,75.2115059318451,86.5755396803834,67.2995760338909,18.2913622261003,27.0897892473776,25.7321890311378,81.4021933502954,61.5747914629241,55.6871157933759
ENSMUSG00000091020,48.4916288244791,40.2676928745969,44.5364841400749,35.5665376618617,43.7604287842253,41.1715024498204,34.8866542929837,40.4084568975439,48.8483471871719
ENSMUSG00000101589,48.4916288244791,70.4684625305446,79.1759718045776,57.9226470493177,63.556813234232,56.6108158685031,50.3918339787543,64.4611098127486,53.733181905889
ENSMUSG00000041303,524.501291366815,492.272545391948,486.932226598152,478.623978249625,449.065352523836,469.355127927953,663.815505297052,695.60272230772,670.199323407998
ENSMUSG00000049690,75.2115059318451,89.5956166459782,80.1656714521348,15.2428018550836,23.9640443342186,23.6736139086467,52.3299814394756,70.2337465123978,57.6410496808628
ENSMUSG00000101685,9.89625078050594,10.0669232186492,10.8866961231294,18.2913622261003,17.7125545079007,20.5857512249102,7.75258984288528,3.84842446643275,8.79270249369093
ENSMUSG00000073678,92.0351322587052,100.669232186492,87.0935689850353,205.269731648459,201.089589413226,233.648276402731,175.402345195279,173.179100989474,176.831016817562
ENSMUSG00000036155,370.119779190922,374.489543733751,396.869558670445,612.760634574361,670.993241358122,672.124777493318,470.00075922492,485.863588887135,462.105364390646
ENSMUSG00000100204,67.2945053074404,96.6424628990326,96.0008658130503,106.699612985585,82.3112827131857,108.075193930779,102.72181541823,86.589550494737,95.7427604868568
ENSMUSG00000026510,387.933030595833,398.65015945851,368.168268891286,515.206702701826,555.340679571241,537.288106970156,420.577998976526,436.796176940118,489.460438815462
ENSMUSG00000026349,1198.43596951927,1191.92370908807,1136.17519539569,993.830680951451,961.687518281904,1027.22898612302,1107.65127380223,1181.46631119486,1252.47162187909
ENSMUSG00000052331,530.439041835118,555.694161669438,534.437809680898,512.158142330809,506.37067593175,522.878081112719,461.279095651674,459.886723738714,470.898066884337
ENSMUSG00000026234,8076.3302619709,8989.76243425377,7619.69758654303,13782.5414373666,14912.9289806814,15857.2041685483,6594.54673510429,6663.54696362831,7032.20806106526
ENSMUSG00000026509,3484.46989981614,3508.32274169926,3528.27924354149,2937.79601086978,3138.24789281159,3238.13866767837,3112.66482191844,3083.55010372924,3044.22899670455
ENSMUSG00000041859,434.445409264211,367.442697480697,401.818056908231,985.701186628739,1035.66348122667,1049.87331247042,375.031533649575,330.002397996609,333.145727816512
