GeneID,GeneSymbol,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000001525,Tubb5,0.548607049251643,0.042192855967171,NA,6.86251855205697e-39,8.3096148554255e-38
ENSMUSG00000001542,Ell2,1.47731582969023,0.0810338487151049,NA,5.41461427972114e-75,1.42645818085356e-73
ENSMUSG00000001552,Jup,-1.2321537577527,0.097348314449012,NA,2.48387721236728e-37,2.88447870469695e-36
ENSMUSG00000001555,Fkbp10,0.164382342020884,0.04819443238016,NA,0.000628285159368165,0.00135248244934519
ENSMUSG00000001558,Klhl10,-0.38082932806824,0.342588188922169,NA,0.193979567023422,0.260689817087228
ENSMUSG00000001569,Nom1,0.31501399632156,0.0700135221083674,NA,5.65236471346029e-06,1.54982911517452e-05
ENSMUSG00000001576,Ergic1,0.711903110355554,0.0506652180467346,NA,3.67423842310141e-45,5.22841445681474e-44
ENSMUSG00000001604,Tcea3,-4.23791354398704,0.453621548195106,NA,2.8521930073579e-21,1.97088179631165e-20
ENSMUSG00000001627,Ifrd1,0.934524475258986,0.0743059851929681,NA,1.03449677625464e-36,1.17423666102383e-35
ENSMUSG00000001630,Stk38l,0.620189186874679,0.101966401829666,NA,6.1346111564279e-10,2.32109159620693e-09
ENSMUSG00000001632,Brpf1,0.224448959923645,0.0735591213587212,NA,0.00213606149222074,0.00426829148400701
ENSMUSG00000001642,Akr1b1,2.02993973596354,0.210825725499454,NA,6.82279629255221e-23,4.98633228578464e-22
ENSMUSG00000001655,Hoxc13,-1.82576595789502,0.208188709540218,NA,2.6427144022584e-19,1.66259676553538e-18
ENSMUSG00000001661,Hoxc6,-0.398396510362897,0.394418146660875,NA,0.214598546405875,0.284453419152305
ENSMUSG00000001663,Gstt1,-2.07852207323902,0.166693720368117,NA,1.3868740378621e-36,1.56171028841136e-35
ENSMUSG00000001665,Gstt3,-0.467078302778205,0.113548273968415,NA,2.88408838057609e-05,7.38349349695743e-05
ENSMUSG00000001666,Ddt,-0.27138632388318,0.147644444496853,NA,0.0590587076710123,0.0909169484588992
ENSMUSG00000001674,Ddx18,0.128043240254016,0.0882035694072267,NA,0.143051419136922,0.199859350789164
ENSMUSG00000001687,Ubl3,-0.191774303242035,0.0700369459029317,NA,0.00586758513393029,0.0109188471243022
ENSMUSG00000001700,Gramd2b,0.409511127656879,0.102471943970097,NA,5.12833203995007e-05,0.000127480820043132
ENSMUSG00000001707,Eef1e1,1.06084044549441,0.124349003948058,NA,4.3525518360921e-18,2.5958852174261e-17
ENSMUSG00000001729,Akt1,-0.0692791890287062,0.0534232611356347,NA,0.192736594703496,0.259265131188177
ENSMUSG00000001739,Cldn15,1.01201695783547,0.24467200115257,NA,1.06295921648278e-05,2.83674057841641e-05
ENSMUSG00000001741,Il16,-0.511432231239964,0.361791057190858,NA,0.0942874717298318,0.138148194184619
ENSMUSG00000001750,Tcirg1,-0.886107419644553,0.0707072493837073,NA,1.90432396403365e-36,2.13514281402364e-35
ENSMUSG00000001751,Naglu,-2.09775345854475,0.0660880542653833,NA,5.14235499518172e-222,7.78642412668486e-220
ENSMUSG00000001755,Coasy,0.194584279450638,0.0796295608714214,NA,0.0138313110617018,0.024172246449832
ENSMUSG00000001761,Smo,-0.393044675358415,0.0671841802630149,NA,3.98281646275043e-09,1.42304709170804e-08
ENSMUSG00000001767,Crnkl1,-0.0280507505211777,0.0726188391131286,NA,0.697293445110051,0.757311181750442
ENSMUSG00000001768,Rin2,-0.924722230634488,0.0502237364169368,NA,3.62670420587233e-76,9.76892552586958e-75
ENSMUSG00000001774,Chordc1,0.4588707045279,0.078807966722099,NA,4.33298334959051e-09,1.54462190446202e-08
ENSMUSG00000001783,Rtcb,0.192344270881786,0.0544338830892613,NA,0.000391988383611821,0.000871358442247713
ENSMUSG00000001785,Pwp1,0.553957771806893,0.0762863238827962,NA,2.56227087581696e-13,1.18755353875903e-12
ENSMUSG00000001786,Fbxo7,-1.2185426075625,0.121527248101965,NA,2.8658263366372e-24,2.18452725054711e-23
ENSMUSG00000001794,Capns1,-0.426944165113761,0.0621493496379944,NA,5.02637766486137e-12,2.15657183111906e-11
ENSMUSG00000001829,Clpb,-0.0836727973972314,0.0841036743842372,NA,0.315204191181278,0.395075509576726
ENSMUSG00000001833,Septin7,-0.145075517659835,0.0509463982218272,NA,0.00433632833097074,0.0082414546246429
ENSMUSG00000001844,Zdhhc4,0.00253519646585003,0.0730433628347497,NA,0.972723941554951,0.980139720409033
ENSMUSG00000001847,Rac1,-0.0331736490813263,0.051525783826437,NA,0.515676186511886,0.595444367156095
ENSMUSG00000001855,Nup214,0.117342299426441,0.0665490250544272,NA,0.0764886625334682,0.114802923767873
ENSMUSG00000001864,Aif1l,-1.68011031779053,0.296280375071988,NA,2.18115788086139e-09,7.9294494894905e-09
ENSMUSG00000001870,Ltbp1,-0.850116730795832,0.061022508745268,NA,1.69440124782609e-44,2.35945373759783e-43
ENSMUSG00000001891,Ugp2,-0.414967996938643,0.0703427730224882,NA,2.82179267640459e-09,1.01707137927446e-08
ENSMUSG00000001909,Trmt1,-0.451641635101735,0.0618683054497412,NA,2.68520248378543e-13,1.24231438555673e-12
ENSMUSG00000001910,Nacc1,0.13258483838593,0.0585070326973722,NA,0.022695962258941,0.0381100589352329
ENSMUSG00000001911,Nfix,-0.739389443103786,0.0595463462294987,NA,1.04528597916638e-35,1.16030463566397e-34
ENSMUSG00000001918,Slc1a5,1.11659868650765,0.0596197558597838,NA,8.19013168945545e-79,2.31400894617296e-77
ENSMUSG00000001924,Uba1,0.21366908479281,0.0485593888197091,NA,1.13471956940345e-05,3.02049605810141e-05
ENSMUSG00000001930,Vwf,-2.55597109504428,0.57729777610814,NA,1.1935455985408e-06,3.48195607086464e-06
ENSMUSG00000001942,Siae,-0.735769708961982,0.0799195199239118,NA,1.69701729412226e-20,1.12385060378475e-19
