Geneid,3T3L1-D0-rep1_aligned.bam,3T3L1-D0-rep2_aligned.bam,3T3L1-D0-rep3_aligned.bam,3T3L1-D2-rep1_aligned.bam,3T3L1-D2-rep2_aligned.bam,3T3L1-D2-rep3_aligned.bam,3T3L1-D6-rep1_aligned.bam,3T3L1-D6-rep2_aligned.bam,3T3L1-D6-rep3_aligned.bam
ENSMUSG00000026489,41,34,20,52,51,47,1133,995,985
ENSMUSG00000025938,0,0,0,0,0,0,0,0,0
ENSMUSG00000104518,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0,0,0,0
ENSMUSG00000010609,367,343,360,629,652,611,745,684,746
ENSMUSG00000026163,0,0,0,0,0,0,1,0,0
ENSMUSG00000104219,0,0,0,0,0,0,0,0,0
ENSMUSG00000038855,994,926,1009,808,774,755,749,727,656
ENSMUSG00002076780,0,0,0,0,0,0,0,0,0
ENSMUSG00000104388,3,2,2,1,3,1,1,0,1
ENSMUSG00000077736,0,0,0,0,0,0,0,0,0
ENSMUSG00000103123,0,0,0,0,0,0,0,0,0
ENSMUSG00000103772,0,0,0,0,0,0,0,0,0
ENSMUSG00000053963,0,0,0,1,1,0,3,0,0
ENSMUSG00000104210,0,0,0,0,0,0,0,0,0
ENSMUSG00000045658,381,386,358,286,376,400,287,266,302
ENSMUSG00000102750,0,0,0,0,0,0,0,0,0
ENSMUSG00000101934,0,0,0,0,0,0,0,0,1
ENSMUSG00000098851,0,0,0,0,0,0,0,0,0
ENSMUSG00000015484,1,0,0,0,0,1,2,1,1
ENSMUSG00000048402,980,917,1053,950,1054,889,387,419,361
ENSMUSG00000098273,0,0,0,0,0,0,0,0,0
ENSMUSG00000097408,3,2,0,0,0,0,1,0,0
ENSMUSG00000096939,0,0,0,0,0,0,0,0,0
ENSMUSG00000100767,0,0,0,0,0,0,0,0,1
ENSMUSG00000037035,380,332,363,146,140,108,133,110,115
ENSMUSG00000036766,2,4,3,3,0,2,2,1,1
ENSMUSG00000104396,0,0,0,0,0,0,0,0,0
ENSMUSG00000102481,0,0,0,0,0,0,0,0,0
ENSMUSG00000005886,1281,1293,1299,1033,1115,1116,1440,1543,1439
ENSMUSG00000093254,0,0,0,0,0,0,0,0,0
ENSMUSG00000004451,1385,1258,1362,1075,1025,1024,887,848,873
ENSMUSG00000101437,0,0,0,0,0,0,0,1,0
ENSMUSG00000103506,4,1,0,2,0,1,0,1,0
ENSMUSG00000103495,0,0,0,0,0,0,0,0,1
ENSMUSG00002076346,0,0,0,0,0,0,0,0,0
ENSMUSG00000102639,0,0,0,0,0,0,0,0,0
ENSMUSG00000098923,147,138,142,137,167,131,138,141,148
ENSMUSG00000104170,1,0,0,0,0,1,0,0,0
ENSMUSG00000087782,0,0,0,0,0,0,0,0,0
ENSMUSG00000101731,1,2,0,0,0,0,2,1,1
ENSMUSG00000103085,0,1,2,2,0,2,3,0,1
ENSMUSG00000084505,0,0,0,0,0,0,0,0,0
ENSMUSG00000102664,0,2,1,0,1,0,0,1,2
ENSMUSG00000101171,0,0,1,1,0,0,0,1,0
ENSMUSG00000026496,1048,1055,1199,2100,2138,2191,1757,1765,1712
ENSMUSG00000025935,1043,1001,1005,922,751,847,921,942,835
ENSMUSG00000025937,373,393,370,302,312,307,629,608,665
ENSMUSG00000102982,7,5,3,8,9,10,12,12,10
ENSMUSG00000067813,0,0,0,0,0,0,0,0,0
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,4,1,3,2,3,0,3,2,0
ENSMUSG00000102166,0,0,0,0,0,0,0,0,0
ENSMUSG00002075174,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,0,0,0
ENSMUSG00000026219,4857,4822,4933,4551,4790,5089,5936,5909,5700
ENSMUSG00000103505,0,0,0,0,0,0,0,1,0
ENSMUSG00000104503,0,4,0,0,0,3,0,0,0
ENSMUSG00000073633,158,168,147,125,102,124,181,151,161
ENSMUSG00000026220,2,2,1,0,1,3,3,1,2
ENSMUSG00000118590,26,24,13,4,2,2,30,20,31
ENSMUSG00000099693,2,1,1,0,0,1,2,0,1
ENSMUSG00000026104,1035,1374,1047,393,395,375,3186,2795,2677
ENSMUSG00000026383,106,107,119,112,99,113,271,275,262
ENSMUSG00000099569,1,1,2,0,1,0,12,11,6
ENSMUSG00000102687,0,0,0,0,0,0,0,0,0
ENSMUSG00000060743,589,554,570,529,533,464,446,411,419
ENSMUSG00000084558,0,0,0,0,0,0,0,0,0
ENSMUSG00000038806,697,725,666,758,761,684,651,617,642
ENSMUSG00000052477,13,34,19,11,11,18,31,30,41
ENSMUSG00000103979,2,0,0,0,0,0,0,0,0
ENSMUSG00000064281,7,1,3,8,9,3,4,4,3
ENSMUSG00002076475,0,0,0,0,0,0,0,0,0
